"sequence","SUBHOLDING","NAMA LOKASI","TIPE FASILITAS","KETERANGAN FASILITAS","ID FASILITAS","Seberapa puas Bapak / Ibu terhadap fasilitas Toilet kami?","Group_Seberapa puas Bapak / Ibu terhadap fasilitas Toilet kami?","Numeric_Seberapa puas Bapak / Ibu terhadap fasilitas Toilet kami?","Silakan berikan saran dan masukan Anda terkait fasilitas Toilet kami (Opsional)","Tags_Silakan berikan saran dan masukan Anda terkait fasilitas Toilet kami (Opsional)","Sentiment_Silakan berikan saran dan masukan Anda terkait fasilitas Toilet kami (Opsional)","Staff dan Petugas (Penampilan, keramahan, dll)-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Toilet kami","Numeric_Staff dan Petugas (Penampilan, keramahan, dll)-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Toilet kami","Kelengkapan dan Ketersediaan Fasilitas-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Toilet kami","Numeric_Kelengkapan dan Ketersediaan Fasilitas-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Toilet kami","Kebersihan, Kenyamanan, dan Keamanan-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Toilet kami","Numeric_Kebersihan, Kenyamanan, dan Keamanan-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Toilet kami","Hal apa saja dari pelayanan Staff dan Petugas kami yang menurut Bapak / Ibu Memuaskan?","Other Choice-Lainnya","Hal apa saja dari pelayanan Staff dan Petugas kami yang menurut Bapak / Ibu Kurang Memuaskan?","Other Choice-Lainnya_1","Hal apa saja dari Kelengkapan dan Ketersediaan Fasilitas kami yang menurut Bapak / Ibu Memuaskan?","Other Choice-Lainnya_2","Hal apa saja dari Kelengkapan dan Ketersediaan Fasilitas kami yang menurut Bapak / Ibu Kurang Memuaskan?","Other Choice-Lainnya_3","Hal apa saja dari Kebersihan, Kenyamanan, dan Keamanan kami yang menurut Bapak / Ibu Memuaskan?","Other Choice-Lainnya_4","Hal apa saja dari Kebersihan, Kenyamanan, dan Keamanan kami yang menurut Bapak / Ibu Kurang Memuaskan?","Other Choice-Lainnya_5","Respondent Id","Survey Status","Survey Mode","Sync On-DateTime","Sync By","Response Time","Interviewer Id","Subscription Id","Project Id","Questionnaire Version","Channel Type","Is Anonymous","Test Response","Distribution Channel","Response Language","Camp Sent On Date Time","Inapp Trigger Type","Inapp Trigger Value","Name","Email","Phone Number","ID","Client Name","Company Name","Keyword","Platform Category","Tone","Published Date","Trigger Time","Response Imports","Campaign Id"
"11","IDM","TMII","TOILET","Plaza Utara","IDM-TMII-TOILET -Plaza Utara-01","1","Not Satisfied","1","Orinoir pria tidak dapat mengeluarkan air untuk mencuci kemaluan, kita di negara muslim terbesar yang seharusnya taat beragama salah satunya membilas dari najis, kalo bisa dganti atau ditambah alat untuk membilas kemaluan","Special Needs and Religious Facilities (Wudhu Areas, Mushola)","Negative","5","5","1","1","5","5","Memiliki penampilan yang bersih dan rapi|Melayani dengan sikap ramah, menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati serta profesionalisme|Melayani dengan cepat dan tepat|Membantu dan memastikan kesiapan fasilitas",,,,,,"Air tidak tersedia atau mengalir dengan tidak lancar|Urinoir kotor atau tidak dapat digunakan",,"Toilet bersih dan terawat dengan baik",,,,"6451e607-2106-46cf-a171-2e7e644a0a2a","Completed","New","29-11-2025 08:44:38","Anonymous","283445",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","70fc7a7c-45d7-4b5f-866d-13eba967a822",,,"true","False","QrCode","Bahasa","2025-11-29T01:39:54.1817Z",,,,,,,,,,,,,,,"68b5aef6ba36f57e40594794"
"12","IDM","BOROBUDUR","TOILET","Concrouse","IDM-BOROBUDUR-TOILET-Concrouse-01","4","Satisfied","4","Lumayan bagus",,"Positive","4","4","4","4","4","4","Memiliki penampilan yang bersih dan rapi|Melayani dengan sikap ramah, menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati serta profesionalisme|Melayani dengan cepat dan tepat|Membantu dan memastikan kesiapan fasilitas|Lainnya","Ramah",,,"Toilet duduk dan jongkok tersedia dalam kondisi bersih dan berfungsi dengan baik|Urinoir bersih dan mudah digunakan|Air tersedia dengan lancar dan cukup untuk kebutuhan pengguna|Wastafel bersih dan berfungsi dengan baik|Tisu tersedia dengan cukup untuk digunakan|Sabun tersedia dan dapat digunakan dengan mudah|Pengering tangan berfungsi dengan baik|Lady bin tersedia dan bersih|Cermin bersih dan dipasang dengan posisi yang nyaman digunakan|Tempat sampah tersedia dan rutin dikosongkan|Pengharum ruangan berfungsi dengan baik sehingga toilet terasa segar|Lainnya","Keren",,,"Toilet bersih dan terawat dengan baik|Toilet nyaman digunakan oleh pengunjung|Toilet aman dan memberikan rasa privasi bagi pengguna",,,,"dc50afe8-4fad-4f68-b5fb-0b1c01d1f084","Completed",,"05-09-2025 07:30:00",,"129828",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","70fc7a7c-45d7-4b5f-866d-13eba967a822","20",,"true",,,,,,,,,,,,,,,,,,"Untitled-Import-2",
"13","IDM","TMII","TOILET","Elevated Parking LT 1 Zona 1","IDM-TMII-TOILET - Elevated Parking LT 1 Zona 1-01","5","Satisfied","5","Sudah baik, dan di pertahankan",,"Positive","5","5",,,"5","5","Memiliki penampilan yang bersih dan rapi|Melayani dengan sikap ramah, menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati serta profesionalisme|Membantu dan memastikan kesiapan fasilitas",,,,,,,,"Toilet bersih dan terawat dengan baik|Toilet aman dan memberikan rasa privasi bagi pengguna|Toilet nyaman digunakan oleh pengunjung",,,,"2ff1b6ac-2fa2-493a-b996-3802b547e38e","Completed",,"05-09-2025 09:26:00",,"55228",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","70fc7a7c-45d7-4b5f-866d-13eba967a822","20",,"true",,,,,,,,,,,,,,,,,,"Untitled-Import-2",
"14","IDM","TMII","TOILET","Elevated Parking LT 1 Zona 1","IDM-TMII-TOILET - Elevated Parking LT 1 Zona 1-01","5","Satisfied","5","Harus nambah orang lagi","Staff Performance and Service Quality","Neutral","5","5","5","5","5","5","Memiliki penampilan yang bersih dan rapi|Melayani dengan sikap ramah, menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati serta profesionalisme|Melayani dengan cepat dan tepat|Membantu dan memastikan kesiapan fasilitas",,,,"Toilet duduk dan jongkok tersedia dalam kondisi bersih dan berfungsi dengan baik|Urinoir bersih dan mudah digunakan|Air tersedia dengan lancar dan cukup untuk kebutuhan pengguna|Wastafel bersih dan berfungsi dengan baik|Tisu tersedia dengan cukup untuk digunakan|Sabun tersedia dan dapat digunakan dengan mudah|Pengering tangan berfungsi dengan baik|Lady bin tersedia dan bersih|Cermin bersih dan dipasang dengan posisi yang nyaman digunakan|Tempat sampah tersedia dan rutin dikosongkan|Pengharum ruangan berfungsi dengan baik sehingga toilet terasa segar",,,,"Toilet bersih dan terawat dengan baik|Toilet nyaman digunakan oleh pengunjung|Toilet aman dan memberikan rasa privasi bagi pengguna",,,,"99c77159-0f40-4e5b-b122-4aead661cccf","Completed",,"05-09-2025 12:42:00",,"58940",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","70fc7a7c-45d7-4b5f-866d-13eba967a822","20",,"true",,,,,,,,,,,,,,,,,,"Untitled-Import-2",
"15","IDM","BOROBUDUR","TOILET","Concrouse","IDM-BOROBUDUR-TOILET-Concrouse-01","5","Satisfied","5","Baik",,"Positive",,,,,"5","5",,,,,,,,,"Toilet bersih dan terawat dengan baik",,,,"d0d10a78-9f0a-4bea-8d3c-579f935f5e75","Completed",,"07-09-2025 09:59:00",,"85536",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","70fc7a7c-45d7-4b5f-866d-13eba967a822","20",,"true",,,,,,,,,,,,,,,,,,"Untitled-Import-2",
"16","IDM","BOROBUDUR","TOILET","Concrouse","IDM-BOROBUDUR-TOILET-Concrouse-01","5","Satisfied","5","sudah bagus",,"Positive","5","5","5","5","5","5","Melayani dengan sikap ramah, menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati serta profesionalisme|Membantu dan memastikan kesiapan fasilitas",,,,"Toilet duduk dan jongkok tersedia dalam kondisi bersih dan berfungsi dengan baik|Air tersedia dengan lancar dan cukup untuk kebutuhan pengguna|Wastafel bersih dan berfungsi dengan baik|Tisu tersedia dengan cukup untuk digunakan|Urinoir bersih dan mudah digunakan|Sabun tersedia dan dapat digunakan dengan mudah|Pengering tangan berfungsi dengan baik|Cermin bersih dan dipasang dengan posisi yang nyaman digunakan|Tempat sampah tersedia dan rutin dikosongkan|Pengharum ruangan berfungsi dengan baik sehingga toilet terasa segar",,,,"Toilet bersih dan terawat dengan baik",,,,"c85cb1be-e80e-42d6-91c1-2d7cdd0bf1d5","Completed",,"07-09-2025 10:01:00",,"66544",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","70fc7a7c-45d7-4b5f-866d-13eba967a822","20",,"true",,,,,,,,,,,,,,,,,,"Untitled-Import-2",
"17","IDM","BOROBUDUR","TOILET","Concrouse","IDM-BOROBUDUR-TOILET-Concrouse-01","5","Satisfied","5","Banyak sekali perubahan, bersih rapi bagus","Cleanliness and Hygiene of Toilets","Positive","5","5","5","5","5","5","Melayani dengan sikap ramah, menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati serta profesionalisme|Memiliki penampilan yang bersih dan rapi",,,,"Toilet duduk dan jongkok tersedia dalam kondisi bersih dan berfungsi dengan baik|Wastafel bersih dan berfungsi dengan baik|Air tersedia dengan lancar dan cukup untuk kebutuhan pengguna|Tisu tersedia dengan cukup untuk digunakan|Sabun tersedia dan dapat digunakan dengan mudah|Pengering tangan berfungsi dengan baik|Cermin bersih dan dipasang dengan posisi yang nyaman digunakan|Tempat sampah tersedia dan rutin dikosongkan|Pengharum ruangan berfungsi dengan baik sehingga toilet terasa segar",,,,"Toilet bersih dan terawat dengan baik",,,,"b97d8e0b-6e33-4ca1-ba37-286bcde2ab85","Completed",,"07-09-2025 10:02:00",,"565786",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","70fc7a7c-45d7-4b5f-866d-13eba967a822","20",,"true",,,,,,,,,,,,,,,,,,"Untitled-Import-2",
"18","IDM","BOROBUDUR","TOILET","Concrouse","IDM-BOROBUDUR-TOILET-Concrouse-01","5","Satisfied","5","petugas dan kebersihan.perlengkapan sangat baik","Staff Performance and Service Quality","Positive",,,,,"5","5",,,,,,,,,"Toilet bersih dan terawat dengan baik",,,,"190701e8-7540-4763-86be-acc74aa62216","Completed",,"07-09-2025 12:26:00",,"75359",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","70fc7a7c-45d7-4b5f-866d-13eba967a822","20",,"true",,,,,,,,,,,,,,,,,,"Untitled-Import-2",
"19","IDM","TMII","TOILET","Elevated Parking LT 1 Zona 1","IDM-TMII-TOILET - Elevated Parking LT 1 Zona 1-01","5","Satisfied","5","Cukup Baik",,"Positive","5","5","5","5","5","5","Memiliki penampilan yang bersih dan rapi|Melayani dengan sikap ramah, menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati serta profesionalisme|Membantu dan memastikan kesiapan fasilitas",,,,"Urinoir bersih dan mudah digunakan|Air tersedia dengan lancar dan cukup untuk kebutuhan pengguna|Wastafel bersih dan berfungsi dengan baik|Tisu tersedia dengan cukup untuk digunakan|Sabun tersedia dan dapat digunakan dengan mudah|Pengering tangan berfungsi dengan baik|Cermin bersih dan dipasang dengan posisi yang nyaman digunakan|Tempat sampah tersedia dan rutin dikosongkan|Pengharum ruangan berfungsi dengan baik sehingga toilet terasa segar",,,,"Toilet bersih dan terawat dengan baik|Toilet nyaman digunakan oleh pengunjung",,,,"03733643-e2ed-4523-9f57-f1a2990351a6","Completed",,"08-09-2025 09:15:00",,"96363",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","70fc7a7c-45d7-4b5f-866d-13eba967a822","20",,"true",,,,,,,,,,,,,,,,,,"Untitled-Import-2",
"20","IDM","BOROBUDUR","TOILET","Plaza Museum","IDM-BOROBUDUR-TOILET-Plaza Museum-01","4","Satisfied","4",,,,"4","4","4","4","4","4","Memiliki penampilan yang bersih dan rapi|Membantu dan memastikan kesiapan fasilitas",,,,"Toilet duduk dan jongkok tersedia dalam kondisi bersih dan berfungsi dengan baik|Urinoir bersih dan mudah digunakan|Air tersedia dengan lancar dan cukup untuk kebutuhan pengguna|Wastafel bersih dan berfungsi dengan baik|Tisu tersedia dengan cukup untuk digunakan|Sabun tersedia dan dapat digunakan dengan mudah|Pengering tangan berfungsi dengan baik|Lady bin tersedia dan bersih|Cermin bersih dan dipasang dengan posisi yang nyaman digunakan|Tempat sampah tersedia dan rutin dikosongkan|Pengharum ruangan berfungsi dengan baik sehingga toilet terasa segar",,,,"Toilet bersih dan terawat dengan baik|Toilet aman dan memberikan rasa privasi bagi pengguna",,,,"0015e136-2cbc-4cc5-bff9-e4cc355a8b04","Completed",,"08-09-2025 16:13:00",,"126832",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","70fc7a7c-45d7-4b5f-866d-13eba967a822","20",,"true",,,,,,,,,,,,,,,,,,"Untitled-Import-2",
"21","IDM","PRAMBANAN","TOILET","C","IDM-PRAMBANAN-TOILET-C-01","3","Neutral","3","Mambu pesing di sekitar urinal. Padahal kelihatannya kering seperti habis di pel. Atau mungkin ngepelnya pel kering, jadi urinnya masih nempel di lantai.
Kebersihan bagus, cuma masih mambu pesing.","Cleanliness and Hygiene of Toilets|Odor Control and Air Quality","Negative",,,,,"3","3",,,,,,,,,,,"Toilet kotor atau kurang terawat",,"2a11de7e-2be7-43bc-9b9b-0eda8560aea3","Completed",,"09-09-2025 15:58:00",,"182356",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","70fc7a7c-45d7-4b5f-866d-13eba967a822","20",,"true",,,,,,,,,,,,,,,,,,"Untitled-Import-2",
"22","IDM","TMII","TOILET","Elevated Parking LT 1 Zona 1","IDM-TMII-TOILET - Elevated Parking LT 1 Zona 1-01","5","Satisfied","5","bersih, ramah , wangi","Cleanliness and Hygiene of Toilets","Positive","5","5",,,,,"Melayani dengan sikap ramah, menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati serta profesionalisme",,,,,,,,,,,,"e86399d8-ea8e-4908-89b6-907c7ad000a9","Completed",,"09-09-2025 16:11:00",,"94445",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","70fc7a7c-45d7-4b5f-866d-13eba967a822","20",,"true",,,,,,,,,,,,,,,,,,"Untitled-Import-2",
"23","IDM","BOROBUDUR","TOILET","Simpul Gate","IDM-BOROBUDUR-TOILET-Simpul Gate-01","5","Satisfied","5","Pintu di tutup untuk kenyamanan","Comfort and Ambience (Lighting, Ventilation, Sound)","Positive","5","5","5","5","5","5","Melayani dengan sikap ramah, menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati serta profesionalisme|Membantu dan memastikan kesiapan fasilitas",,,,"Tisu tersedia dengan cukup untuk digunakan|Sabun tersedia dan dapat digunakan dengan mudah|Pengharum ruangan berfungsi dengan baik sehingga toilet terasa segar|Toilet duduk dan jongkok tersedia dalam kondisi bersih dan berfungsi dengan baik|Wastafel bersih dan berfungsi dengan baik|Tempat sampah tersedia dan rutin dikosongkan|Cermin bersih dan dipasang dengan posisi yang nyaman digunakan|Pengering tangan berfungsi dengan baik|Air tersedia dengan lancar dan cukup untuk kebutuhan pengguna",,,,"Toilet bersih dan terawat dengan baik|Toilet nyaman digunakan oleh pengunjung",,,,"0fc7e4f6-011b-4a6e-bb09-16b11be94254","Completed",,"10-09-2025 12:10:00",,"213263",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","70fc7a7c-45d7-4b5f-866d-13eba967a822","20",,"true",,,,,,,,,,,,,,,,,,"Untitled-Import-2",
