"sequence","SUBHOLDING","NAMA LOKASI","TIPE FASILITAS","KETERANGAN FASILITAS","ID FASILITAS","Seberapa puas Bapak / Ibu terhadap layanan Information Center kami?","Group_Seberapa puas Bapak / Ibu terhadap layanan Information Center kami?","Numeric_Seberapa puas Bapak / Ibu terhadap layanan Information Center kami?","Silakan berikan saran dan masukan Anda terkait fasilitas Information Center kami (Opsional)","Tags_Silakan berikan saran dan masukan Anda terkait fasilitas Information Center kami (Opsional)","Sentiment_Silakan berikan saran dan masukan Anda terkait fasilitas Information Center kami (Opsional)","Staff dan Petugas (Penampilan, keramahan, dll)-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Information Center kami","Numeric_Staff dan Petugas (Penampilan, keramahan, dll)-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Information Center kami","Kelengkapan dan Ketersediaan Fasilitas-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Information Center kami","Numeric_Kelengkapan dan Ketersediaan Fasilitas-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Information Center kami","Kebersihan, Kenyamanan, dan Kemudahan Akses Informasi-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Information Center kami","Numeric_Kebersihan, Kenyamanan, dan Kemudahan Akses Informasi-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Information Center kami","Hal apa saja dari pelayanan Staff dan Petugas kami yang menurut Bapak / Ibu Memuaskan?","Other Choice-Lainnya","Hal apa saja dari pelayanan Staff dan Petugas kami yang menurut Bapak / Ibu Kurang Memuaskan?","Other Choice-Lainnya_1","Hal apa saja dari Kelengkapan dan Ketersediaan Fasilitas kami yang menurut Bapak / Ibu Memuaskan?","Other Choice-Lainnya_2","Hal apa saja dari Kelengkapan dan Ketersediaan Fasilitas kami yang menurut Bapak / Ibu Kurang Memuaskan?","Other Choice-Lainnya_3","Hal apa saja dari Kebersihan, Kenyamanan, dan Kemudahan Akses Informasi kami yang menurut Bapak / Ibu Memuaskan?","Other Choice-Lainnya_4","Hal apa saja dari Kebersihan, Kenyamanan, dan Kemudahan Akses Informasi kami yang menurut Bapak / Ibu Kurang Memuaskan?","Other Choice-Lainnya_5","Respondent Id","Survey Status","Survey Mode","Sync On-DateTime","Sync By","Response Time","Interviewer Id","Subscription Id","Project Id","Questionnaire Version","Channel Type","Is Anonymous","Test Response","Distribution Channel","Response Language","Camp Sent On Date Time","Inapp Trigger Type","Inapp Trigger Value","Name","Email","Phone Number","ID","Client Name","Company Name","Keyword","Platform Category","Tone","Published Date","Trigger Time","Response Imports","Campaign Id"
"11","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01","5","Satisfied","5","tidak ada",,"Neutral","5","5","5","5","5","5","Melakukan layanan secara profesional dan ramah (menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati)|Memiliki penampilan yang bersih dan rapi|Memberikan informasi dengan jelas dan akurat|Melayani dengan cepat dan tepat|Membantu dan memastikan kesiapan fasilitas",,,,"Fasilitas pusat informasi lengkap dan mendukung kebutuhan pengunjung|Fasilitas pusat informasi tersedia dengan baik dan mudah diakses oleh pengunjung",,,,"Pusat informasi bersih dan tertata dengan baik|Pusat informasi nyaman digunakan oleh pengunjung|Informasi mudah diakses dan disampaikan dengan jelas kepada pengunjung",,,,"1b49377b-2b0f-4b77-93d6-139f9f6c9e8c","Completed","New","04-01-2026 15:13:16","Anonymous","29225",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","1eb4a3f0-5e3d-4ac9-b813-8b1a562e7235",,,"true","False","QrCode","Bahasa","2026-01-04T08:12:46.4083Z",,,,,,,,,,,,,,,"68b5aaf51f3cc3c03afa57ae"
"12","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01","5","Satisfied","5","Sudah keren banget, nyaman,","Visitor Information and Signage Clarity","Positive","5","5","5","5","5","5","Melakukan layanan secara profesional dan ramah (menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati)|Memberikan informasi dengan jelas dan akurat|Membantu dan memastikan kesiapan fasilitas|Melayani dengan cepat dan tepat|Memiliki penampilan yang bersih dan rapi",,,,"Fasilitas pusat informasi lengkap dan mendukung kebutuhan pengunjung|Fasilitas pusat informasi tersedia dengan baik dan mudah diakses oleh pengunjung",,,,"Pusat informasi bersih dan tertata dengan baik|Pusat informasi nyaman digunakan oleh pengunjung|Informasi mudah diakses dan disampaikan dengan jelas kepada pengunjung",,,,"37de83df-340f-4f5e-be94-f196cdc48531","Completed","New","04-01-2026 15:13:01","Anonymous","50859",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","1eb4a3f0-5e3d-4ac9-b813-8b1a562e7235",,,"true","False","QrCode","Bahasa","2026-01-04T08:12:09.8098Z",,,,,,,,,,,,,,,"68b5aaf51f3cc3c03afa57ae"
"13","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01","5","Satisfied","5","Saat ini sudah cukup bagus,lebih ditingkatkan lagi,masnya ramah ,menyampaikan dengan baik","Staff Friendliness and Service Quality","Positive","5","5","5","5","5","5","Melakukan layanan secara profesional dan ramah (menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati)|Memiliki penampilan yang bersih dan rapi|Memberikan informasi dengan jelas dan akurat|Melayani dengan cepat dan tepat|Membantu dan memastikan kesiapan fasilitas",,,,"Fasilitas pusat informasi lengkap dan mendukung kebutuhan pengunjung|Fasilitas pusat informasi tersedia dengan baik dan mudah diakses oleh pengunjung",,,,"Pusat informasi bersih dan tertata dengan baik|Pusat informasi nyaman digunakan oleh pengunjung|Informasi mudah diakses dan disampaikan dengan jelas kepada pengunjung",,,,"14e5062b-898f-44e6-945f-f123846428ed","Completed","New","04-01-2026 11:09:12","Anonymous","119879",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","1eb4a3f0-5e3d-4ac9-b813-8b1a562e7235",,,"true","False","QrCode","Bahasa","2026-01-04T04:07:12.5274Z",,,,,,,,,,,,,,,"68b5aaf51f3cc3c03afa57ae"
"14","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01","5","Satisfied","5","Informasi nya jelas Detail setiap anjungan Teh Best 🙏","Visitor Information and Signage Clarity","Positive","5","5","5","5","5","5","Melakukan layanan secara profesional dan ramah (menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati)|Memiliki penampilan yang bersih dan rapi|Memberikan informasi dengan jelas dan akurat|Melayani dengan cepat dan tepat|Membantu dan memastikan kesiapan fasilitas|Lainnya","Excelent",,,"Fasilitas pusat informasi lengkap dan mendukung kebutuhan pengunjung|Fasilitas pusat informasi tersedia dengan baik dan mudah diakses oleh pengunjung",,,,"Pusat informasi bersih dan tertata dengan baik|Pusat informasi nyaman digunakan oleh pengunjung|Informasi mudah diakses dan disampaikan dengan jelas kepada pengunjung",,,,"06c40e45-205f-457e-9ed4-2339a32da0fe","Completed","New","04-01-2026 11:09:00","Anonymous","101733",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","1eb4a3f0-5e3d-4ac9-b813-8b1a562e7235",,,"true","False","QrCode","Bahasa","2026-01-04T04:07:18.5833Z",,,,,,,,,,,,,,,"68b5aaf51f3cc3c03afa57ae"
"15","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01","5","Satisfied","5","Sudah bagus, pertahankan",,"Positive","5","5","5","5","5","5","Melakukan layanan secara profesional dan ramah (menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati)|Memiliki penampilan yang bersih dan rapi|Memberikan informasi dengan jelas dan akurat|Melayani dengan cepat dan tepat|Membantu dan memastikan kesiapan fasilitas",,,,"Fasilitas pusat informasi lengkap dan mendukung kebutuhan pengunjung|Fasilitas pusat informasi tersedia dengan baik dan mudah diakses oleh pengunjung",,,,"Pusat informasi bersih dan tertata dengan baik|Pusat informasi nyaman digunakan oleh pengunjung|Informasi mudah diakses dan disampaikan dengan jelas kepada pengunjung",,,,"c3d7ef12-ac6c-47fb-aa8b-de039eb9538e","Completed","New","04-01-2026 11:08:41","Anonymous","89338",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","1eb4a3f0-5e3d-4ac9-b813-8b1a562e7235",,,"true","False","QrCode","Bahasa","2026-01-04T04:07:11.7035Z",,,,,,,,,,,,,,,"68b5aaf51f3cc3c03afa57ae"
"16","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01","5","Satisfied","5","Sangat informatif","Visitor Information and Signage Clarity","Positive","5","5","5","5","5","5","Melakukan layanan secara profesional dan ramah (menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati)|Memiliki penampilan yang bersih dan rapi|Memberikan informasi dengan jelas dan akurat|Melayani dengan cepat dan tepat|Membantu dan memastikan kesiapan fasilitas",,,,"Fasilitas pusat informasi lengkap dan mendukung kebutuhan pengunjung|Fasilitas pusat informasi tersedia dengan baik dan mudah diakses oleh pengunjung",,,,"Pusat informasi bersih dan tertata dengan baik|Pusat informasi nyaman digunakan oleh pengunjung|Informasi mudah diakses dan disampaikan dengan jelas kepada pengunjung",,,,"0fd64c7b-dcea-4bb1-a572-ca928ade0e87","Completed","New","04-01-2026 11:08:32","Anonymous","84756",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","1eb4a3f0-5e3d-4ac9-b813-8b1a562e7235",,,"true","False","QrCode","Bahasa","2026-01-04T04:07:07.7484Z",,,,,,,,,,,,,,,"68b5aaf51f3cc3c03afa57ae"
"17","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01","4","Satisfied","4","Tolong untuk sepeda dilakukan maintenance rutin karena beberapa sepeda ada yang kempes dan sepeda yg saya naikki remnya blong sehingga kurang enjoy untuk mengikuti tournya","Facility Maintenance and Cleanliness","Negative","4","4","4","4","4","4","Memberikan informasi dengan jelas dan akurat",,,,"Fasilitas pusat informasi lengkap dan mendukung kebutuhan pengunjung",,,,"Pusat informasi bersih dan tertata dengan baik",,,,"b0a6df52-6979-4bee-adef-879c11a04cb3","Completed","New","04-01-2026 11:08:23","Anonymous","83052",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","1eb4a3f0-5e3d-4ac9-b813-8b1a562e7235",,,"true","False","QrCode","Bahasa","2026-01-04T04:07:00.1396Z",,,,,,,,,,,,,,,"68b5aaf51f3cc3c03afa57ae"
"18","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01","4","Satisfied","4",,,,"5","5","4","4","4","4","Melakukan layanan secara profesional dan ramah (menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati)",,,,"Fasilitas pusat informasi tersedia dengan baik dan mudah diakses oleh pengunjung",,,,"Pusat informasi bersih dan tertata dengan baik",,,,"5b70cec6-a1de-4558-9c47-92ff999485ee","Completed","New","04-01-2026 11:08:13","Anonymous","53677",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","1eb4a3f0-5e3d-4ac9-b813-8b1a562e7235",,,"true","False","QrCode","Bahasa","2026-01-04T04:07:19.6172Z",,,,,,,,,,,,,,,"68b5aaf51f3cc3c03afa57ae"
"19","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01","5","Satisfied","5","Sudah sangat baik",,"Positive","5","5","5","5","5","5","Melakukan layanan secara profesional dan ramah (menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati)",,,,"Fasilitas pusat informasi tersedia dengan baik dan mudah diakses oleh pengunjung",,,,"Informasi mudah diakses dan disampaikan dengan jelas kepada pengunjung",,,,"1858b482-5a55-4587-91cf-ef647da45f1a","Completed","New","04-01-2026 11:08:07","Anonymous","49708",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","1eb4a3f0-5e3d-4ac9-b813-8b1a562e7235",,,"true","False","QrCode","Bahasa","2026-01-04T04:07:16.8281Z",,,,,,,,,,,,,,,"68b5aaf51f3cc3c03afa57ae"
"20","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01","5","Satisfied","5","Bagus, ramah, pertahankan terus yahh","Staff Friendliness and Service Quality","Positive","5","5","5","5","5","5","Melakukan layanan secara profesional dan ramah (menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati)",,,,"Fasilitas pusat informasi tersedia dengan baik dan mudah diakses oleh pengunjung",,,,"Informasi mudah diakses dan disampaikan dengan jelas kepada pengunjung",,,,"9ab80bb8-2606-4574-8b0a-e97a52a88721","Completed","New","04-01-2026 11:07:52","Anonymous","59152",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","1eb4a3f0-5e3d-4ac9-b813-8b1a562e7235",,,"true","False","QrCode","Bahasa","2026-01-04T04:06:52.3356Z",,,,,,,,,,,,,,,"68b5aaf51f3cc3c03afa57ae"
